X,Y,Z,hexcode
-0.54452896,0.26834238,0.9728723,#874b00
-0.4911714,0.289738,0.94469994,#874b0f
-0.43538177,0.30802405,0.9064886,#874b1e
-0.38420257,0.32995823,0.8652665,#874b2d
-0.33548185,0.35707092,0.8190423,#874b3c
-0.28436452,0.39231122,0.7711085,#874b4b
-0.22882295,0.43399468,0.7183793,#874b5a
-0.17188959,0.46849144,0.65661883,#874b69
-0.115840964,0.48851332,0.5850277,#874b78
-0.06161633,0.50338954,0.510034,#874b87
-0.0075480114,0.5153998,0.43021327,#874b96
0.04530303,0.526349,0.34772804,#874ba5
0.09428023,0.53968984,0.26240787,#874bb4
0.13843553,0.55703115,0.1739833,#874bc3
0.18051961,0.57610935,0.08298478,#874bd2
0.22245216,0.595025,-0.010378913,#874be1
0.2647959,0.6131508,-0.10611624,#874bf0
0.3076896,0.6302893,-0.20429008,#874bff
-0.53605336,0.16914958,0.895997,#875a00
-0.48539522,0.18568406,0.86860454,#875a0f
-0.43059912,0.20003426,0.82636154,#875a1e
-0.3813554,0.21659465,0.7782059,#875a2d
-0.33106172,0.2384926,0.72750515,#875a3c
-0.27607438,0.2688053,0.67425716,#875a4b
-0.21887563,0.30771622,0.6201187,#875a5a
-0.16140303,0.35007116,0.5641194,#875a69
-0.10379372,0.38293585,0.49903175,#875a78
-0.04402771,0.40320554,0.4201183,#875a87
0.016982535,0.42095438,0.33360073,#875a96
0.07164131,0.43692574,0.24659306,#875aa5
0.11885831,0.45332485,0.15875654,#875ab4
0.16239189,0.4712871,0.06888364,#875ac3
0.20468841,0.49003607,-0.023103876,#875ad2
0.2469856,0.50848,-0.11732045,#875ae1
0.289729,0.52611417,-0.21387258,#875af0
0.3330457,0.54276824,-0.31283137,#875aff
-0.52413976,0.07008872,0.819036,#876900
-0.47705182,0.08032624,0.78981346,#87690f
-0.42419627,0.08982791,0.74092084,#87691e
-0.3737385,0.10290239,0.6886695,#87692d
-0.31940383,0.121520154,0.6333396,#87693c
-0.26277095,0.14728056,0.5761453,#87694b
-0.20565784,0.1805472,0.5196473,#87695a
-0.14855336,0.22093242,0.46396652,#876969
-0.09090433,0.26316705,0.4054537,#876978
-0.030403687,0.2953999,0.33212546,#876987
0.030790776,0.31749645,0.24417345,#876996
0.088233404,0.34009492,0.1511129,#8769a5
0.14088859,0.3625416,0.05627074,#8769b4
0.1874156,0.38290754,-0.037131805,#8769c3
0.23062381,0.40200698,-0.13051426,#8769d2
0.2733781,0.42021835,-0.2256897,#8769e1
0.31653175,0.4374534,-0.32311508,#8769f0
0.36026663,0.45365784,-0.42290878,#8769ff
-0.504554,-0.035450246,0.73807,#877800
-0.46257225,-0.03164654,0.7021675,#87780f
-0.41032428,-0.026749378,0.6493968,#87781e
-0.3558816,-0.01530972,0.5933789,#87782d
-0.29866546,0.00086171814,0.53504705,#87783c
-0.24223387,0.023368604,0.4759819,#87784b
-0.18608908,0.05157495,0.41711766,#87785a
-0.12988749,0.087183535,0.3596123,#877869
-0.07310996,0.12920435,0.30131117,#877878
-0.013701382,0.17349559,0.23408799,#877887
0.04451799,0.20846519,0.1518516,#877896
0.10005623,0.23471065,0.058509048,#8778a5
0.1545686,0.2601048,-0.038813245,#8778b4
0.20777914,0.285208,-0.13845605,#8778c3
0.25743422,0.3084913,-0.23815459,#8778d2
0.30251712,0.328345,-0.3360792,#8778e1
0.34626728,0.34584638,-0.43463814,#8778f0
0.39036646,0.36189827,-0.5352697,#8778ff
-0.46767595,-0.16342983,0.6423373,#878700
-0.4286164,-0.1639117,0.6001486,#87870f
-0.37486103,-0.16403297,0.5441061,#87871e
-0.31691998,-0.15425403,0.4848973,#87872d
-0.25878036,-0.14050359,0.4254276,#87873c
-0.2028697,-0.12029398,0.36548096,#87874b
-0.14805938,-0.095153615,0.30497533,#87875a
-0.09325085,-0.064619206,0.24492775,#878769
-0.03828329,-0.025338873,0.1842099,#878778
0.017653376,0.022043698,0.116346605,#878787
0.0720292,0.07159834,0.041654225,#878796
0.12603053,0.10843272,-0.045369055,#8787a5
0.18010014,0.13558315,-0.14187469,#8787b4
0.23362137,0.16230467,-0.24197471,#8787c3
0.28627688,0.1894185,-0.34477052,#8787d2
0.33805454,0.21489355,-0.4496183,#8787e1
0.38685563,0.23643202,-0.55382997,#8787f0
0.4322065,0.2541251,-0.6564255,#8787ff
-0.423161,-0.30013302,0.53717005,#879600
-0.38238528,-0.30229867,0.49070713,#87960f
-0.32659677,-0.3086835,0.43020776,#87961e
-0.26717305,-0.30254984,0.3692918,#87962d
-0.20827726,-0.29183385,0.30893445,#87963c
-0.15217169,-0.2743465,0.24806598,#87964b
-0.098061584,-0.2514948,0.18621722,#87965a
-0.04454336,-0.22485362,0.12350924,#879669
0.008268288,-0.18964693,0.05822493,#879678
0.060730483,-0.14311737,-0.012857727,#879687
0.11263603,-0.091527306,-0.086940914,#879696
0.16518658,-0.041703656,-0.165492,#8796a5
0.2189726,-0.0065059834,-0.2563219,#8796b4
0.27275094,0.020625684,-0.35592267,#8796c3
0.3256594,0.04814536,-0.45910332,#8796d2
0.37831172,0.07566335,-0.5652427,#8796e1
0.43130568,0.10146091,-0.6742156,#8796f0
0.4838862,0.12392781,-0.78490245,#8796ff
-0.3728359,-0.4387154,0.42614606,#87a500
-0.32825395,-0.441219,0.37536976,#87a50f
-0.2719133,-0.45319524,0.31153616,#87a51e
-0.21253549,-0.45279866,0.2494255,#87a52d
-0.15300585,-0.44516122,0.18814287,#87a53c
-0.09646741,-0.43044215,0.12625974,#87a54b
-0.043018095,-0.40910757,0.063200794,#87a55a
0.008420768,-0.38364995,-0.0018950768,#87a569
0.058686376,-0.35105234,-0.072268635,#87a578
0.109286286,-0.30855396,-0.14735296,#87a587
0.15969162,-0.2590977,-0.22304492,#87a596
0.21083254,-0.20739482,-0.30044287,#87a5a5
0.26310045,-0.15860401,-0.38259256,#87a5b4
0.31669506,-0.12459438,-0.47732955,#87a5c3
0.36995158,-0.096848324,-0.5801769,#87a5d2
0.42271554,-0.06901121,-0.6867627,#87a5e1
0.47587886,-0.041850828,-0.7965261,#87a5f0
0.52983266,-0.01638177,-0.90935427,#87a5ff
-0.31498274,-0.5785418,0.30787015,#87b400
-0.26827997,-0.5814098,0.2543226,#87b40f
-0.21169032,-0.5966521,0.18833475,#87b41e
-0.15330778,-0.60366786,0.124690376,#87b42d
-0.09350763,-0.5991263,0.062435925,#87b43c
-0.03673649,-0.58679235,-0.0005482348,#87b44b
0.0153473765,-0.56592536,-0.064965665,#87b45a
0.063651815,-0.53927153,-0.13242511,#87b469
0.11218466,-0.50759166,-0.2069021,#87b478
0.16223654,-0.47008598,-0.28580865,#87b487
0.21186735,-0.42480895,-0.36413693,#87b496
0.26168796,-0.3746251,-0.44278526,#87b4a5
0.3123995,-0.32300895,-0.52341765,#87b4b4
0.3641124,-0.2747903,-0.6092672,#87b4c3
0.4170901,-0.24113731,-0.7078634,#87b4d2
0.47013316,-0.21306294,-0.81395626,#87b4e1
0.5233865,-0.18574956,-0.92396915,#87b4f0
0.5774133,-0.15956192,-1.0372802,#87b4ff
-0.25232762,-0.7173012,0.18427889,#87c300
-0.20516485,-0.7204727,0.1292949,#87c30f
-0.14824027,-0.7370985,0.061710965,#87c31e
-0.09083815,-0.75106174,-0.003686197,#87c32d
-0.03151681,-0.7504308,-0.06703878,#87c33c
0.024854638,-0.73982537,-0.13128759,#87c34b
0.074487686,-0.7183716,-0.19740152,#87c35a
0.12016872,-0.69029766,-0.26710272,#87c369
0.16819629,-0.6591923,-0.3445493,#87c378
0.21811706,-0.62543076,-0.42629465,#87c387
0.2678104,-0.58590615,-0.5078914,#87c396
0.316934,-0.53917176,-0.5886261,#87c3a5
0.36643943,-0.48892376,-0.670266,#87c3b4
0.41662243,-0.43746012,-0.75408125,#87c3c3
0.46751836,-0.38967323,-0.84358734,#87c3d2
0.5202262,-0.35683835,-0.9459466,#87c3e1
0.5738202,-0.32961413,-1.0552129,#87c3f0
0.62806904,-0.30365852,-1.1684852,#87c3ff
-0.18754256,-0.85315555,0.05759538,#87d200
-0.14028682,-0.85676146,0.0015499953,#87d20f
